edad,salario,experiencia,antiguedad_empresa,departamento,tipo_contrato,horas_trabajo,satisfaccion_laboral,balance_trabajo_vida,promociones,distancia_trabajo,comentarios_empleado,renuncia
56,3182,28,14,rrhh,fijo,31,4,4,2,10,disfruto trabajar en esta empresa,0
46,2696,22,12,logistica,temporal,39,5,1,3,4,estoy contento con mi trabajo,0
32,1310,14,9,logistica,temporal,41,4,3,0,41,la cultura de la empresa es positiva y siento que no hay crecimiento profesional,0
60,3397,41,27,produccion,temporal,34,3,4,4,40,"el ambiente es regular, podria mejorar",0
25,1968,4,1,finanzas,fijo,38,3,5,1,6,"el ambiente es regular, podria mejorar",0
38,2388,20,13,ventas,temporal,41,2,2,0,50,el trabajo es estresante y agotador,0
56,2624,38,12,ventas,fijo,37,4,2,3,23,disfruto trabajar en esta empresa,0
36,1745,15,8,ti,temporal,39,4,1,4,43,la empresa valora a sus empleados,0
40,2992,18,4,logistica,fijo,60,2,4,4,49,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral,1
28,1896,0,0,rrhh,temporal,43,3,3,0,3,la empresa tiene potencial de mejora,1
28,1072,6,2,rrhh,fijo,49,4,2,1,11,me siento parte de un buen equipo,1
41,1914,18,7,ti,fijo,44,4,3,1,3,no me siento valorado en la empresa,0
53,3407,29,12,logistica,fijo,37,3,1,4,24,el trabajo es aceptable,1
57,2407,32,16,ventas,fijo,38,4,5,0,2,estoy satisfecho con mi equipo,0
41,2261,23,4,ventas,fijo,57,3,5,4,16,"a veces me siento motivado, a veces no",0
20,1825,2,1,produccion,temporal,60,1,1,1,25,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1
39,2489,11,8,finanzas,fijo,56,4,3,3,49,mi desarrollo profesional es constante y me siento muy estresado por la carga laboral,1
19,815,0,0,produccion,fijo,34,1,3,0,8,me siento estancado profesionalmente ademas considero que el salario es bajo,1
41,2523,21,10,logistica,fijo,30,3,3,4,45,el trabajo es aceptable,0
47,1677,21,1,rrhh,temporal,40,3,1,1,12,hay estabilidad pero falta innovacion,0
55,3242,32,0,produccion,fijo,51,2,2,0,4,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,1
19,1813,0,0,rrhh,temporal,33,2,2,0,46,el liderazgo es deficiente,1
38,2444,16,7,produccion,temporal,35,5,4,4,4,me siento parte de un buen equipo,1
50,3660,32,14,finanzas,temporal,46,4,5,1,11,me siento reconocido por mis esfuerzos,0
29,2233,8,5,produccion,fijo,33,2,5,0,27,me siento sobrecargado y desmotivado,1
39,2200,16,1,produccion,fijo,34,2,4,1,9,estoy satisfecho con las condiciones laborales,0
42,1984,18,2,produccion,fijo,51,3,3,0,0,siento que mi esfuerzo no siempre se reconoce y siento que no hay crecimiento profesional,1
44,1370,26,20,rrhh,fijo,43,4,1,2,34,estoy contento con mi trabajo,0
