edad,salario,experiencia,antiguedad_empresa,departamento,tipo_contrato,horas_trabajo,satisfaccion_laboral,balance_trabajo_vida,promociones,distancia_trabajo,comentarios_empleado,renuncia,employee_id,employee_name,risk_score,risk_level,recommendation
56,3182,28,14,rrhh,fijo,31,4,4,2,10,disfruto trabajar en esta empresa,0,0,N/A,0.20589014057208208,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
46,2696,22,12,logistica,temporal,39,5,1,3,4,estoy contento con mi trabajo,0,1,N/A,0.20908805039050601,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
32,1310,14,9,logistica,temporal,41,4,3,0,41,la cultura de la empresa es positiva y siento que no hay crecimiento profesional,0,2,N/A,0.3299814397284824,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
60,3397,41,27,produccion,temporal,34,3,4,4,40,"el ambiente es regular, podria mejorar",0,3,N/A,0.2834551060587527,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
25,1968,4,1,finanzas,fijo,38,3,5,1,6,"el ambiente es regular, podria mejorar",0,4,N/A,0.4877852876364464,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
38,2388,20,13,ventas,temporal,41,2,2,0,50,el trabajo es estresante y agotador,0,5,N/A,0.6624504991188981,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
56,2624,38,12,ventas,fijo,37,4,2,3,23,disfruto trabajar en esta empresa,0,6,N/A,0.25515238570108406,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
36,1745,15,8,ti,temporal,39,4,1,4,43,la empresa valora a sus empleados,0,7,N/A,0.3825663129546861,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
40,2992,18,4,logistica,fijo,60,2,4,4,49,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral,1,8,N/A,0.6110449262736344,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
28,1896,0,0,rrhh,temporal,43,3,3,0,3,la empresa tiene potencial de mejora,1,9,N/A,0.666490451145762,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
28,1072,6,2,rrhh,fijo,49,4,2,1,11,me siento parte de un buen equipo,1,10,N/A,0.7778145933869952,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
41,1914,18,7,ti,fijo,44,4,3,1,3,no me siento valorado en la empresa,0,11,N/A,0.3015297380320279,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
53,3407,29,12,logistica,fijo,37,3,1,4,24,el trabajo es aceptable,1,12,N/A,0.5967134897909441,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
57,2407,32,16,ventas,fijo,38,4,5,0,2,estoy satisfecho con mi equipo,0,13,N/A,0.4040035265100983,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
41,2261,23,4,ventas,fijo,57,3,5,4,16,"a veces me siento motivado, a veces no",0,14,N/A,0.3426893160590694,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
20,1825,2,1,produccion,temporal,60,1,1,1,25,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1,15,N/A,0.8260499293578643,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
39,2489,11,8,finanzas,fijo,56,4,3,3,49,mi desarrollo profesional es constante y me siento muy estresado por la carga laboral,1,16,N/A,0.6506581822139393,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
19,815,0,0,produccion,fijo,34,1,3,0,8,me siento estancado profesionalmente ademas considero que el salario es bajo,1,17,N/A,0.7774432516284895,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
41,2523,21,10,logistica,fijo,30,3,3,4,45,el trabajo es aceptable,0,18,N/A,0.2587580936867908,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
47,1677,21,1,rrhh,temporal,40,3,1,1,12,hay estabilidad pero falta innovacion,0,19,N/A,0.3939988798817858,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
55,3242,32,0,produccion,fijo,51,2,2,0,4,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,1,20,N/A,0.7980272375594513,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
19,1813,0,0,rrhh,temporal,33,2,2,0,46,el liderazgo es deficiente,1,21,N/A,0.7957396695814511,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
38,2444,16,7,produccion,temporal,35,5,4,4,4,me siento parte de un buen equipo,1,22,N/A,0.4044493447752332,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
50,3660,32,14,finanzas,temporal,46,4,5,1,11,me siento reconocido por mis esfuerzos,0,23,N/A,0.24153767711529459,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
29,2233,8,5,produccion,fijo,33,2,5,0,27,me siento sobrecargado y desmotivado,1,24,N/A,0.6732291676854146,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
39,2200,16,1,produccion,fijo,34,2,4,1,9,estoy satisfecho con las condiciones laborales,0,25,N/A,0.3019950267091116,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
42,1984,18,2,produccion,fijo,51,3,3,0,0,siento que mi esfuerzo no siempre se reconoce y siento que no hay crecimiento profesional,1,26,N/A,0.46226927912445603,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
44,1370,26,20,rrhh,fijo,43,4,1,2,34,estoy contento con mi trabajo,0,27,N/A,0.26661476055297534,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
59,2486,34,27,produccion,fijo,50,3,5,2,27,"estoy aprendiendo cosas nuevas, pero hay desafios",1,28,N/A,0.5981430732981527,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
45,2511,26,16,logistica,fijo,47,3,3,0,50,siento que algunos procesos son confusos,1,29,N/A,0.6010867062199459,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
33,2271,13,13,ventas,fijo,32,4,2,3,1,trabajo en proyectos que me interesan,0,30,N/A,0.3105672874852689,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
32,1350,8,6,ventas,fijo,50,3,3,1,22,la cultura de la empresa es positiva,0,31,N/A,0.30914359545171605,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
